,タイトル,概要,スコア,投稿時間
0,東京03角田、CMでチューイングキャンディに感情移入,クラシエフーズが販売するチューイングキャンディ「フレグメン」のCM「ひいきする店長」編が明日6月29日より北海道地区限定で放送され、東京03角田が出演する。,143,14:45
1,現場に来なくていい探偵No.1を競う大会に寺田寛明や真空ジェシカ川北,ママタルト檜原の主催ライブ「来ていらん探偵王」が7月1日（木）に東京・西新宿ナルゲキで開催され、有料配信も行われる。,165,13:36
2,「千鳥の野球チームを作ろう」シーズン2開幕、見取り図が選手候補を調査,明日6月29日（火）放送の「相席食堂」（ABCテレビ）で「千鳥の野球チームを作ろう」シーズン2が始動し、見取り図がゲスト出演する。,1107,13:15
3,母心・関あつし、今夜放送「TOKYO SPEAKEASY」で室井滋とトーク,本日6月28日（木）深夜放送の「TOKYO SPEAKEASY」（TOKYO FM）に母心・関あつしが出演する。,12,13:00
4,ぼる塾「エル・ジャポン」でポジティブの秘訣語る、「まあね～」を上手に使って,ぼる塾が、本日6月28日発売のファッション誌「エル・ジャポン」8月号（ハースト婦人画報社）に登場した。,93,12:41
5,オズワルド畠中の認知度が上がらないので芸人力検証,本日6月28日（月）深夜の「しくじり先生 俺みたいになるな!!」（テレビ朝日系）にオズワルドがゲスト出演する。,475,12:07
6,「ノーセンスユニークボケ王決定戦」座・高円寺2で開催、配信も,「ノーセンスユニークボケ王決定戦」が8月4日（水）、東京・座・高円寺2で開催される。,118,12:00
7,レインボーやネルソンズ「有吉ゼミ」チャレンジグルメ登場、もう中は農業企画に,本日6月28日（月）放送の「有吉ゼミ 2時間スペシャル」（日本テレビ系）に多数の芸人が出演する。,127,11:53
8,サンシャイン池崎、天竺鼠瀬下、中条あやみが料理対決「飯ごうNo.1決定戦」,本日6月28日（月）放送の「アイ・アム・冒険少年」（TBS系）で新企画「飯ごうNo.1決定戦」が展開され、サンシャイン池崎、天竺鼠・瀬下、中条あやみの3名が出場する。,401,11:11
9,三拍子MCネタバトルが配信版に、笑顔計測システムで優勝者を決定,ネタバトルイベント「虎笑門」のリモート版「リモー虎笑門」が本日6月28日（月）19時よりYouTubeチャンネル「三拍子のofficial channel」で配信される。,56,10:39
